"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","genes"
4.64089721154804e-64,5.24775206078441,0.974,0.203,2.85818936567609e-59,"CD24"
6.85226409631929e-59,5.12522300381243,0.862,0.109,4.22010388900016e-54,"NEUROD6"
9.0093817016388e-57,3.8810851739762,0.793,0.066,5.54860790858829e-52,"TMSB15A"
1.93569737588427e-55,5.14004606312047,1,0.583,1.19213794288584e-50,"DCX"
1.59009386355667e-54,4.26970807463895,1,0.571,9.79291107748645e-50,"SOX11"
2.52954818779897e-54,4.28904368535627,0.845,0.117,1.55787284241975e-49,"MEX3A"
5.32408142204108e-54,4.29173423735978,1,0.743,3.27894202539244e-49,"SOX4"
2.4503557093107e-51,3.24450233007913,1,0.926,1.50910057069318e-46,"TUBA1A"
1.99621530809048e-49,4.91728704618615,0.905,0.24,1.22940912179368e-44,"SATB2"
1.69420007666928e-48,4.08466383367825,0.957,0.366,1.04340700121831e-43,"BCL11A"
5.61192032312515e-47,-6.7709553526703,0.155,0.931,3.45621336940309e-42,"CLU"
6.98003266443965e-47,3.64273727852812,0.983,0.589,4.29879271704845e-42,"STMN2"
2.95571768454827e-45,2.35574113780665,1,0.96,1.82033785038274e-40,"MAP1B"
1.18119503747047e-43,-7.62981765359405,0.112,0.886,7.27462587726937e-39,"NEAT1"
9.77649438044429e-43,2.06909051302568,1,0.891,6.02104959408422e-38,"STMN1"
1.14532401551626e-42,-6.78804977451914,0.06,0.86,7.05370701435997e-38,"SPARCL1"
1.62786087835627e-42,3.51859058510231,0.81,0.171,1.00255067915328e-37,"SLA"
1.11398011907038e-40,-3.65993894370547,0.086,0.871,6.86066935931877e-36,"IL6ST"
1.73668571883036e-39,3.85992129972563,0.845,0.211,1.06957263365606e-34,"MN1"
1.1437920404707e-38,3.34001286762949,0.922,0.429,7.04427203964687e-34,"DPYSL3"
1.31488850440831e-38,2.7475554218743,0.957,0.514,8.09800383209943e-34,"NREP"
1.44758515518941e-37,3.14680524485892,0.905,0.423,8.91524269526499e-33,"TUBB"
2.14012842367846e-37,5.23531904904322,0.647,0.091,1.31804089229085e-32,"ADRA2A"
2.88373471872253e-37,2.50933656522204,0.922,0.343,1.77600570121965e-32,"NNAT"
4.57893419893431e-37,3.55482810351937,0.793,0.254,2.82002820509767e-32,"NEUROD2"
6.69462882020312e-37,2.71942165540917,0.983,0.669,4.1230210514985e-32,"MLLT11"
9.28248915294432e-37,2.14314470608481,0.983,0.631,5.71680659462382e-32,"TMSB10"
2.28350678058394e-36,-8.6123114699329,0.034,0.766,1.40634332095823e-31,"CRYAB"
4.19298987648162e-36,-3.87692352341834,0.155,0.863,2.58233667522873e-31,"LINC-PINT"
2.33667056903927e-35,-5.52212917803202,0.121,0.826,1.43908530335422e-30,"B2M"
3.81551553857492e-35,3.3427181026818,0.802,0.234,2.34986155474213e-30,"IGFBPL1"
5.38207999307164e-35,-4.6171055690816,0.112,0.817,3.31466160533303e-30,"AC058791.1"
1.35867402890378e-33,-3.07852224030194,0.5,0.94,8.36766574180969e-29,"ITM2B"
2.19186451505646e-33,3.16720905514343,0.914,0.457,1.34990359888782e-28,"JPT1"
8.66160249316215e-32,-6.17724584477586,0.017,0.706,5.33442112746377e-27,"HTRA1"
1.28354901918291e-31,1.7200753445014,1,0.826,7.90499334444181e-27,"RPS19"
2.66203197718852e-31,-6.15118049161872,0.043,0.714,1.63946563379109e-26,"ALDOC"
4.44624631210164e-31,4.34195965984778,0.543,0.071,2.73830971623404e-26,"NKAIN1"
5.67603066859535e-31,-3.7550435887081,0.129,0.814,3.49569700786782e-26,"ARID5B"
1.00261866171699e-30,3.55654647549843,0.75,0.217,6.17482755191643e-26,"CSRP2"
1.39786636061206e-30,2.39732081489679,0.966,0.726,8.6090395551015e-26,"CXADR"
3.06780008275407e-30,-4.26327116390733,0.069,0.723,1.88936603696575e-25,"TSPYL2"
5.73492194033235e-30,-4.25560516920148,0.491,0.951,3.53196637539248e-25,"SAT1"
5.8137899207718e-30,1.4556683296625,1,0.977,3.58053879850573e-25,"EEF1A1"
1.06786262823753e-29,-2.72035631158661,0.31,0.863,6.57664556852645e-25,"SLC6A1"
1.77123962403608e-29,3.75379023600242,0.698,0.18,1.0908533472551e-24,"EPHA3"
1.81106167731038e-29,4.21108140435262,0.534,0.077,1.11537855520514e-24,"ST8SIA2"
2.29079717261792e-29,1.92742203376225,0.983,0.709,1.4108332547002e-24,"TUBB2B"
3.02750423345703e-29,-5.99591662512439,0.009,0.651,1.86454903225918e-24,"BHLHE41"
3.98180915565531e-29,3.10068776620845,0.897,0.574,2.45227680469344e-24,"SRGAP1"
6.96942593181967e-29,-2.6471253333326,0.302,0.874,4.29226034862978e-24,"PRNP"
7.54223990236572e-29,-3.1426463534546,0.207,0.846,4.64503928866997e-24,"ADD3"
9.68446134575433e-29,2.18414234613472,0.974,0.783,5.96436920900972e-24,"RPS15A"
1.0600750688132e-28,1.51345294746776,1,0.9,6.52868432629985e-24,"MARCKS"
1.5801792624743e-28,1.30125168933058,0.638,0.18,9.7318500238005e-24,"AC106800.1"
1.6673275976311e-28,-8.79483847823677,0.026,0.657,1.02685704755307e-23,"MBP"
1.99543896326692e-28,3.02573750997334,0.905,0.563,1.2289309943072e-23,"ZBTB18"
2.32285228892664e-28,2.23895569891247,0.983,0.923,1.43057503918125e-23,"NFIB"
2.50264440548311e-28,-3.94645052382915,0.026,0.669,1.54130361000489e-23,"NR3C1"
2.71471274742244e-28,-2.7180382238245,0.25,0.843,1.67191013975506e-23,"OXR1"
2.91664233082594e-28,2.11783714613518,0.948,0.706,1.79627251228577e-23,"RPLP0"
4.79677531426356e-28,-3.03230415446714,0.19,0.809,2.9541900127955e-23,"OSBPL1A"
6.92852625109429e-28,-7.55850805068982,0.233,0.829,4.26707146226144e-23,"CLDN11"
7.9336696061744e-28,1.56879843121151,0.991,0.82,4.88610910035463e-23,"RPS11"
8.74381970681302e-28,2.72410073390499,0.897,0.537,5.38505624283493e-23,"CRMP1"
9.64084872414041e-28,2.85103813818098,0.853,0.397,5.93750950373635e-23,"ZNF286A"
1.6358957179014e-27,-4.20756701830134,0.129,0.734,1.00749909578393e-22,"MAST4"
1.64323539311345e-27,-4.74972201814766,0.069,0.689,1.01201938155678e-22,"ZBTB16"
3.10107883284627e-27,1.5952558130727,0.983,0.854,1.90986142078503e-22,"RPS18"
3.15819694684957e-27,1.55707804287389,0.991,0.86,1.94503875365625e-22,"RPL34"
4.66147066360058e-27,-3.06330710042747,0.448,0.917,2.87085993759169e-22,"AHI1"
4.99705403692864e-27,1.58851131278927,1,0.854,3.07753566972324e-22,"RPS3A"
5.04303480655763e-27,4.01226298128957,0.543,0.097,3.10585384631465e-22,"SATB2-AS1"
7.72836132377273e-27,4.86977544625416,0.5,0.08,4.75966588847191e-22,"SCUBE1"
1.1539115242395e-26,1.580535754231,0.716,0.251,7.1065949043338e-22,"TUBBP1"
1.34977119900548e-26,-3.40330566032307,0.112,0.729,8.31283588331502e-22,"ACSL6"
1.96148977856449e-26,-4.61503776366628,0.147,0.717,1.20802270992451e-21,"NALCN"
2.09959566543329e-26,4.14400856063129,0.672,0.191,1.2930779824704e-21,"SEMA3A"
2.7384398212056e-26,-3.04924566736774,0.276,0.849,1.68652293268589e-21,"TACC1"
3.09847914885174e-26,2.32068799139143,0.828,0.374,1.90826035340332e-21,"SYNE2"
3.70714447205538e-26,1.79933444043646,0.931,0.734,2.28311906600474e-21,"RPL39"
3.84403719841886e-26,-6.77040444178596,0.241,0.763,2.36742718939022e-21,"SLC1A3"
3.95086934870699e-26,-5.40819087296818,0.086,0.666,2.43322190578817e-21,"PER3"
